481,Air Transportation ,"International, scheduled freight transportation by air ",All Establishments ,Employer Firms ,"8,095","7,347","6,402",11.7,7.7,6.8
5417,Scientific Research and Development Services ,All other operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"38,186","33,406","33,151",7.3,6.5,6
621498,All Other Outpatient Care Centers ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,S,79,S,S,12.3
6239,Other Residential Care Facilities ,All other non-patient care revenue ,All Establishments ,Employer Firms ,282,268,238,6.9,7.4,4.8
518,"Data Processing, Hosting, and Related Services5 ",Total operating revenue ,All Establishments ,Employer Firms ,"88,670","82,203","76,156",3.9,3.6,3.6
5417,Scientific Research and Development Services ,Basic and applied research in the biological and biomedical sciences ,Establishments subject to federal income tax ,Employer Firms ,"16,333","13,655","12,374",7.4,7,7.1
54186,Direct Mail Advertising ,Mail list creation and support services ,All Establishments ,Employer Firms ,446,410,414,20.2,15.5,15.4
6215,Medical and Diagnostic Laboratories ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"10,150","10,433","9,873",2.5,1.9,1.9
481,Air Transportation ,"International, scheduled freight transportation by air ",All Establishments ,Employer Firms ,"8,095","7,347","6,402",11.7,7.7,6.8
518,"Data Processing, Hosting, and Related Services5 ",Information technology (IT) technical consulting services ,All Establishments ,Employer Firms ,"3,868","3,623","3,431",8.9,7.7,7.6
621399,Offices of All Other Miscellaneous Health Practitioners ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"1,736","1,656","1,521",5.4,5.4,4.8
621391,Offices of Podiatrists ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,634,610,589,4.8,4.9,5.7
5231X ,Commodity Contracts Dealing and Brokerage8 ,All other operating revenue ,All Establishments ,Employer Firms ,"6,278","6,235","5,725",3.9,3.4,4.1
5417,Scientific Research and Development Services ,All other operating revenue ,Establishments exempt from federal income tax ,Employer Firms ,"3,674","3,938","3,813",5.3,4.9,5.1
2,"Includes 2002 NAICS 5171 (Wired Telecommunications Carriers), 2002 NAICS 5175 (Cable and Other Program Distribution), and a portion of 2002 NAICS 518111 (Internet Service Providers).  Historical data, 2010 and prior, have been restated to reflect comparable data on the 2007 NAICS basis.",,,,,,,,,
5171,Wired Telecommunications Carriers2 ,Private network services ,All Establishments ,Employer Firms ,"22,253","22,222","21,977",2.2,2.3,1.8
6219,Other Ambulatory Health Care Services ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"5,882","5,567","5,213",3.6,3.3,3.1
56151,Travel Agencies ,"Commissions or fees from airline seats, international destinations ",All Establishments ,Employer Firms ,"1,136","1,139","1,057",15.9,16.4,12.4
62142,Outpatient Mental Health and Substance Abuse Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"2,043","1,869","1,783",6.1,7.6,9.7
622,Hospitals ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"16,949","16,254","15,418",16.2,15.5,15.9
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Equities ,All Establishments ,Employer Firms ,387,963,992,6.1,4.3,4.4
5152,Cable and Other Subscription Programming ,Air time (advertising and program content) ,All Establishments ,Employer Firms ,"23,304","23,586","21,269",0.5,0.5,0.5
5112,Software Publishers ,Re-sale of computer hardware and software ,All Establishments ,Employer Firms ,"5,608","4,557","3,262",6.3,9,4
5417,Scientific Research and Development Services ,Basic and applied research in the social sciences and humanities ,Establishments subject to federal income tax ,Employer Firms ,"1,278","1,208","1,133",6.9,6.5,6.5
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Management consulting services ,All Establishments ,Employer Firms ,"10,937","9,291","8,026",4.5,4,4.2
522,Credit Intermediation and Related Activities ,Loan income from businesses and governments ,All Establishments ,Employer Firms ,"181,470","183,809","197,028",6,5.5,5.7
622,Hospitals ,Total operating revenue ,All Establishments ,Employer Firms ,"918,707","864,422","822,590",1.1,0.9,0.6
515112,Radio Stations ,All other operating revenue ,All Establishments ,Employer Firms ,"1,461","1,277","1,212",2.9,4.5,4.5
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
5621,Waste Collection ,Non-residential nonhazardous waste and recyclable material collection services ,All Establishments ,Employer Firms ,"20,919","20,327","20,262",4.1,3.7,4.3
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",All other operating revenue ,All Establishments ,Employer Firms ,"10,756","10,347","9,923",11.6,11.2,11.8
54131,Architectural Services ,Interior design services ,All Establishments ,Employer Firms ,"2,314","2,021","1,968",14,14.6,13.9
62132,Offices of Optometrists ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"4,447","4,310","4,161",3.2,2.3,1.8
483,Water Transportation ,Tugboat services ,All Establishments ,Employer Firms ,506,S,S,21.6,S,S
621493,Freestanding Ambulatory Surgical and Emergency Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"5,900","5,775","5,523",4.2,2.8,2.6
5172,Wireless Telecommunications Carriers (except Satellite)3 ,All other operating revenue ,All Establishments ,Employer Firms ,"12,911","13,270","11,784",3.4,2.9,3.4
621498,All Other Outpatient Care Centers ,Investment and property income ,All Establishments ,Employer Firms ,235,239,211,8.7,10.5,9
518,"Data Processing, Hosting, and Related Services5 ",Information technology (IT) technical support services ,All Establishments ,Employer Firms ,"3,138","2,853","2,607",11.7,10.1,8.5
5415,Computer Systems Design and Related Services ,Custom application design and development ,All Establishments ,Employer Firms ,"72,189","67,199","60,078",4.4,5.2,5
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,Other patient care revenue ,All Establishments ,Employer Firms ,"2,401","2,435","2,437",4.8,3.3,3.7
56151,Travel Agencies ,Commissions or fees from other travel arrangement services revenue ,All Establishments ,Employer Firms ,373,483,407,7.4,7.7,9.3
2213,"Water, Sewage and Other Systems ",Water sales ,All Establishments ,Employer Firms ,"8,627","8,292","8,033",2.6,2,2.1
621498,All Other Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"11,273","10,968","10,722",2,1.9,1.4
624,Social Assistance ,Program service ,All Establishments ,Employer Firms ,"83,133","80,836","78,170",3.4,3.1,2.5
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Taxation preparation and representation services for individuals and unincorporated businesses ,All Establishments ,Employer Firms ,"15,482","14,933","14,940",5.9,6,5.4
62131,Offices of Chiropractors ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"5,725","5,629","5,431",2.4,2,1.8
6116,Other Schools and Instruction ,Total operating revenue ,All Establishments ,Employer Firms ,"19,844","18,179","16,931",2.3,2.7,2.5
5415,Computer Systems Design and Related Services ,Total operating revenue ,All Establishments ,Employer Firms ,"320,236","303,354","283,790",2,1.8,1.7
5121x ,Motion Picture and Video Production and Distribution1 ,Total operating revenue ,All Establishments ,Employer Firms ,"66,235","63,840","62,567",2.6,1.7,1.8
54181,Advertising Agencies ,Advertising creative services (including graphic design services) ,All Establishments ,Employer Firms ,"2,304","1,970","1,844",21.4,14.3,11.3
