8692635	everyone,i have a lot of files write to disk per seconds,i want to disable disk cache to improve performance,i google search find a solution:win32 CreateFile method with FILE_FLAG_NO_BUFFERING and How to empty/flush Windows READ disk cache in C#?.i write a little of code to test whether can worked:when running this program,the application get exception:IO operation will not work. Most likely the file will become too long or the handle was not opened to support synchronous IO operationslater,i found this article When you create an object with constraints, you have to make sure everybody who uses the object understands those constraints,but i can't fully understand,so i change my code to test:it's running ok,but i just want "hello,world" bytes not all.i trying change blocksize to 1 or other integer(not 512 multiple) get same error.i also try win32 WriteFile api also get same error.someone can help me?
8692643	You are not going to improve performance by disabling either disk cache, or buffering. (Which are two entirely different things, by the way.) You are only going to make performance much, much worse.Instead of coming up with a wacky idea as to how to accomplish what you really need to accomplish, and coming to stackoverflow to ask us how to implement your wacky idea, it would be a lot more constructive if you begun by telling us what it is that you are trying to accomplish in the first place.
8692661	CreateFile() function in No Buffering mode imposes strict requirements on what may and what may not be done. Having a buffer of certain size (multiple of device sector size) is one of them. Now, you can improve file writes in this way only if you use buffering in your code. If you want to write 10 bytes without buffering, then No Buffering mode won't help you.
8694551	I want to be able to validate a large quantity of files (a couple of TB) on a semi regular basis via PHP. Security is not an issue and collisions isn't a particularly big one either since it also factors in filesizes. The main goal is to generate the hashes quickly and with as little CPU as possible.My current candidate is md5_file() but was wondering if there is another approach that could be more efficient?
8694565	I think that sha1 could be your best bet, in php you'd use sha1_file
8694567	If efficiency is an issue and security is not, how about simply the binary XOR of the files? Much faster.
8701834	I didn't understand the diffrence between Call-by-name and Call-by-need. As I understood, Call-by-need method restores the answer returned. But how It helps us, and Is there any fundamental difference between the results ?For example,So in call-by-name, as I understood, We will get:and so on. This is because we pass 2*n to e, and e is evaluate with the new i everytime.What would happen in call-by-need?
8707503	I am building a flyout menu using &lt;ul&gt;'s.Example:So the flyout for the menu's left offset should be the offset of the parent menu item's left offset.When I iterate thru each parent &lt;li&gt; I notice the offset's are decimal values.But in older versions of IE they are not, just for simplicity I would like to avoid decimal offsets. Any idea to make sure the offset values end up being integers?Example
8707531	Just round/floor it with Math.round()/Math.floor():
8708162	It iterates all the LI elements inside 'uiMenu'. For better and non-conflicting code. Provide IDs to top title lis.Do coding by selecting the .title
