NAICS,NAICS Description,Item,Tax Status,Employer Status,2012 Revenue,2011 Revenue,2010 Revenue,2012 Coefficient of Variation,2011 Coefficient of Variation,2010 Coefficient of Variation
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from packaged tours ,All Establishments ,Employer Firms ,191,179,168,10.6,14.5,14
51222,Integrated Record Production/Distribution ,Licensing revenue - Licensing of rights to use musical recordings ,All Establishments ,Employer Firms ,D,668,791,D,1,0.9
56292,Material Recovery Facilities ,Total operating revenue ,All Establishments ,Employer Firms ,"5,068","5,842","4,854",5.3,5.1,5
6239,Other Residential Care Facilities ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,26,S,S,29.2,S
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Total operating revenue ,All Establishments ,Employer Firms ,"8,040","7,350","6,702",4.5,4.3,4.4
51112,Periodical Publishers ,Sale or licensing of rights to content ,All Establishments ,Employer Firms ,506,482,475,13.4,15.2,15.3
56132,Temporary Help Services ,All other operating revenue ,All Establishments ,Employer Firms ,"9,400","8,736","7,693",6.1,7.8,7.8
621498,All Other Outpatient Care Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"2,010","2,494","2,375",4.5,3.7,4.1
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"11,659","11,298","11,247",2.8,2.7,2.2
51911,News Syndicates ,Total operating revenue ,All Establishments ,Employer Firms ,"2,348","2,188","1,960",4.5,3.2,3.1
5415,Computer Systems Design and Related Services ,All other operating revenue ,All Establishments ,Employer Firms ,"51,910","46,927","46,931",5.1,4.4,3.4
711211,Sports Teams and Clubs ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"22,581","22,421","21,504",4.8,3.8,2.9
51114,Directory and Mailing List Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,S,545,610,S,11.6,11.1
5622,Waste Treatment and Disposal ,Nonhazardous waste disposal services ,All Establishments ,Employer Firms ,"7,565","6,847","6,623",4.5,2.5,2.4
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
62141,Outpatient Care Centers ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,ZZ,S,S,NA,S,S
51112,Periodical Publishers ,Periodicals - subscriptions & sales ,All Establishments ,Employer Firms ,"14,027","12,790","12,608",7.5,7.4,5.9
711211,Sports Teams and Clubs ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"22,581","22,421","21,504",4.8,3.8,2.9
51213,Motion Picture and Video Exhibition ,Food and beverage sales ,All Establishments ,Employer Firms ,"4,207","3,858","3,789",3.3,2.5,2.3
51219,Postproduction Services and Other Motion Picture and Video Industries ,Duplication and copying services ,All Establishments ,Employer Firms ,"1,118","1,228","1,189",5.8,5.4,5.5
518,"Data Processing, Hosting, and Related Services5 ",Total operating revenue ,All Establishments ,Employer Firms ,"88,670","82,203","76,156",3.9,3.6,3.6
51223,Music Publishers ,Licensing revenue - Licensing of rights to use musical recordings ,All Establishments ,Employer Firms ,39,34,17,13.2,13.7,15.5
51913,Internet Publishing and Broadcasting and Web Search Portals6 ,Total operating revenue ,All Establishments ,Employer Firms ,"57,534","48,487","41,725",3,2.9,2.5
56151,Travel Agencies ,Commissions or fees from computerized reservation systems ,All Establishments ,Employer Firms ,746,749,723,7.8,6.3,6.7
54186,Direct Mail Advertising ,Letter shop services ,All Establishments ,Employer Firms ,"1,645","1,530","1,468",9.1,7.9,7.7
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
51222,Integrated Record Production/Distribution ,Licensing revenue - Licensing of rights to use musical recordings ,All Establishments ,Employer Firms ,D,668,791,D,1,0.9
56292,Material Recovery Facilities ,All other operating revenue ,All Establishments ,Employer Firms ,449,343,299,10.1,7.1,6.6
51113,Book Publishers ,Books - general reference books ,All Establishments ,Employer Firms ,566,670,636,20.2,18.2,18.3
621493,Freestanding Ambulatory Surgical and Emergency Centers ,Other patient care revenue ,All Establishments ,Employer Firms ,937,843,763,11.3,11.9,10.8
54182,Public Relations Agencies ,Media relations ,All Establishments ,Employer Firms ,828,747,764,11.5,15.2,14.7
62131,Offices of Chiropractors ,Total operating revenue ,All Establishments ,Employer Firms ,"11,432","11,005","10,642",2.2,1.8,1.5
621498,All Other Outpatient Care Centers ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,S,79,S,S,12.3
51213,Motion Picture and Video Exhibition ,Total operating revenue ,All Establishments ,Employer Firms ,"14,519","13,309","13,454",3.1,2.1,1.8
485,Transit and Ground Passenger Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"29,971","28,256","27,020",2.3,2,1.5
62131,Offices of Chiropractors ,Total operating revenue ,All Establishments ,Employer Firms ,"11,432","11,005","10,642",2.2,1.8,1.5
711219,Other Spectator Sports ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"3,762","3,847","3,659",10.4,10.7,8.6
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Internet access services ,All Establishments ,Employer Firms ,"56,084",S,S,3.6,S,S
51112,Periodical Publishers ,Printing services for others ,All Establishments ,Employer Firms ,"1,357","1,511","1,533",19.9,16.1,15.1
2212,Natural Gas Distribution ,Sales of energy and resources - Natural gas distribution ,All Establishments ,Employer Firms ,"66,429","80,600","83,918",2.1,1.9,1.7
6219,Other Ambulatory Health Care Services ,Investment and property income ,All Establishments ,Employer Firms ,119,131,131,9.2,5.4,6.6
622,Hospitals ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"16,949","16,254","15,418",16.2,15.5,15.9
54182,Public Relations Agencies ,Total operating revenue ,All Establishments ,Employer Firms ,"10,931","10,285","10,004",3.9,3.9,3.3
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from event tickets ,All Establishments ,Employer Firms ,"3,958",S,S,13,S,S
54181,Advertising Agencies ,Direct marketing ,All Establishments ,Employer Firms ,"1,872","1,528","1,250",29.4,22.2,16.4
5417,Scientific Research and Development Services ,All other non-operating revenue ,Establishments exempt from federal income tax ,Employer Firms ,647,416,735,10,14.3,7.9
62131,Offices of Chiropractors ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"1,385","1,357","1,316",4.2,4.9,4.8
5112,Software Publishers ,Information technology technical consulting services ,All Establishments ,Employer Firms ,"5,563","5,915","5,128",14.3,11.3,10.1
5417,Scientific Research and Development Services ,Basic and applied research in engineering and technology ,Establishments exempt from federal income tax ,Employer Firms ,"8,399","8,735","8,152",3.9,3.3,3.3
62132,Offices of Optometrists ,Investment and property income ,All Establishments ,Employer Firms ,12,S,S,12,S,S
