NAICS,NAICS Description,Item,Tax Status,Employer Status,2012 Revenue,2011 Revenue,2010 Revenue,2012 Coefficient of Variation,2011 Coefficient of Variation,2010 Coefficient of Variation
2212,Natural Gas Distribution ,All other operating revenue ,All Establishments ,Employer Firms ,D,"3,276","3,235",D,3.6,5.4
  ,  ,,,,,,,,,
62132,Offices of Optometrists ,Total operating revenue ,All Establishments ,Employer Firms ,"12,579","12,025","11,684",2.2,1.9,1.5
6233,Community Care Facilities for the Elderly ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"31,463","29,715","28,299",2.8,2.7,2.7
6211,Offices of Physicians ,Total operating revenue ,All Establishments ,Employer Firms ,"404,254","386,672","372,579",1.4,1.2,0.9
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ","Bookkeeping, compilation, billing, and collection services ",All Establishments ,Employer Firms ,"6,623","5,757","5,739",9.5,12.1,10.7
518,"Data Processing, Hosting, and Related Services5 ",Information and document transformation services ,All Establishments ,Employer Firms ,"2,376","2,174","2,085",12.5,8.5,8.2
484,Truck Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"230,632","215,884","194,616",1.4,1.5,1.4
621492,Kidney Dialysis Centers ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,97,103,101,3.2,3.2,2.3
51213,Motion Picture and Video Exhibition ,All other operating revenue ,All Establishments ,Employer Firms ,498,330,315,12.7,22.5,23.9
5112,Software Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"161,744","156,806","145,425",1.9,1.7,1.6
621498,All Other Outpatient Care Centers ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,S,79,S,S,12.3
51213,Motion Picture and Video Exhibition ,Total operating revenue ,All Establishments ,Employer Firms ,"14,519","13,309","13,454",3.1,2.1,1.8
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",All other operating revenue ,All Establishments ,Employer Firms ,"10,756","10,347","9,923",11.6,11.2,11.8
5174,Satellite Telecommunications ,Carrier services ,All Establishments ,Employer Firms ,"1,622","1,519","1,418",5.4,4.6,5.1
51913,Internet Publishing and Broadcasting and Web Search Portals6 ,All other operating revenue ,All Establishments ,Employer Firms ,"6,880","5,261","4,037",5.5,5.7,4.5
56151,Travel Agencies ,"Commissions or fees from airline seats, international destinations ",All Establishments ,Employer Firms ,"1,136","1,139","1,057",15.9,16.4,12.4
5239X ,Portfolio Management and Investment Advice9 ,Financial planning and investment management services for businesses and governments ,All Establishments ,Employer Firms ,"90,679","86,267","76,236",4.1,4.2,4
