NAICS,NAICS Description,Item,Tax Status,Employer Status,2012 Revenue,2011 Revenue,2010 Revenue,2012 Coefficient of Variation,2011 Coefficient of Variation,2010 Coefficient of Variation
518,"Data Processing, Hosting, and Related Services5 ",Information and document transformation services ,All Establishments ,Employer Firms ,"2,376","2,174","2,085",12.5,8.5,8.2
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,357","1,227","1,129",9.5,7.2,6.8
6233,Community Care Facilities for the Elderly ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,447,429,416,14.3,15.8,14.9
483,Water Transportation ,All other operating revenue ,All Establishments ,Employer Firms ,"1,662","1,431","1,445",5.4,5.5,5
621498,All Other Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"11,273","10,968","10,722",2,1.9,1.4
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from event tickets ,All Establishments ,Employer Firms ,"3,958",S,S,13,S,S
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",Total operating revenue ,All Establishments ,Employer Firms ,"33,702","32,657","31,948",2,1.8,1.5
6233,Community Care Facilities for the Elderly ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"2,568","2,289","2,223",8.8,10.5,10.6
711212,Racetracks ,All other operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"6,944","6,725","6,441",4.6,4.8,4.9
5622,Waste Treatment and Disposal ,All other operating revenue ,All Establishments ,Employer Firms ,"2,323","1,979","1,867",8.6,6,4.7
6233,Community Care Facilities for the Elderly ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"10,475","10,432","9,746",5,4.8,4.6
6239,Other Residential Care Facilities ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"5,744","5,580","5,501",3.6,2.8,2.8
7,Includes NAICS 52311 (Investment Banking and Securities Dealing) and NAICS 52312 (Securities Brokerage). ,,,,,,,,,
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Total operating revenue ,All Establishments ,Employer Firms ,"131,389","120,435","116,142",1.7,1.6,1.7
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ","Bookkeeping, compilation, billing, and collection services ",All Establishments ,Employer Firms ,"6,623","5,757","5,739",9.5,12.1,10.7
54111,Offices of Lawyers ,Program service ,Establishments exempt from federal income tax ,Employer Firms ,727,685,704,21.3,19,17.6
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from event tickets ,All Establishments ,Employer Firms ,"3,958",S,S,13,S,S
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Investment and property income ,All Establishments ,Employer Firms ,S,S,S,S,S,S
5112,Software Publishers ,Custom application design and development ,All Establishments ,Employer Firms ,"5,670","4,385","3,989",6,8.5,8.9
561599,All Other Travel Arrangement and Reservation Services ,Total operating revenue ,All Establishments ,Employer Firms ,"15,529","14,641","13,851",5.7,4.8,4.6
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Electricity generation and distribution ,All Establishments ,Employer Firms ,"420,151","424,469","407,699",2.1,1.9,1.7
51911,News Syndicates ,Total operating revenue ,All Establishments ,Employer Firms ,"2,348","2,188","1,960",4.5,3.2,3.1
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ","Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"1,040","1,009",984,13.5,11.9,10.7
54131,Architectural Services ,Non-residential building projects ,All Establishments ,Employer Firms ,"17,799","17,903","17,626",7.6,6.8,6.3
621399,Offices of All Other Miscellaneous Health Practitioners ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,S,S,S,S,S
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,983","1,833","1,735",8.4,8.7,8.3
621491,Other Outpatient Care Centers ,Investment and property income ,All Establishments ,Employer Firms ,563,529,472,1.3,1.3,1.3
51111,Newspaper Publishers ,Printing services for others ,All Establishments ,Employer Firms ,"1,448","1,313","1,258",6,6.9,7.1
5415,Computer Systems Design and Related Services ,All other operating revenue ,All Establishments ,Employer Firms ,"51,910","46,927","46,931",5.1,4.4,3.4
56299,All Other Waste Management Services ,All other operating revenue ,All Establishments ,Employer Firms ,867,983,"1,026",6.1,6.6,5.3
62132,Offices of Optometrists ,Other patient care revenue ,All Establishments ,Employer Firms ,858,832,781,11.8,8.3,8.6
5417,Scientific Research and Development Services ,Basic and applied research in the social sciences and humanities ,Establishments exempt from federal income tax ,Employer Firms ,"2,133","1,848","1,744",5.7,6.2,5.9
517911,Telecommunications Resellers4 ,Carrier services ,All Establishments ,Employer Firms ,"2,653","2,525","2,499",5.9,5.9,5.6
483,Water Transportation ,Other transportation of passengers by water ,All Establishments ,Employer Firms ,77,73,77,22.5,21.6,12.2
3,"Includes 2002 NAICS 517211 (Paging), 2002 NAICS 517212 (Cellular and Other Wireless Telecommunications) and a portion of 2002 NAICS 518111 (Internet Service Providers).  Historical data, 2010 and prior, have been restated to reflect comparable data on the 2007 NAICS basis. ",,,,,,,,,
51219,Postproduction Services and Other Motion Picture and Video Industries ,Audiovisual postproduction services ,All Establishments ,Employer Firms ,"3,456","3,478","3,167",3.9,4.4,4
621498,All Other Outpatient Care Centers ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,S,79,S,S,12.3
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ","Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"8,311","8,083","7,930",4.4,3.9,3.3
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Brokering and dealing investment company securities ,All Establishments ,Employer Firms ,"15,906","13,673","13,393",3.1,2.6,2.6
6219,Other Ambulatory Health Care Services ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"7,626","7,072","6,721",4.7,4.1,3.4
624,Social Assistance ,Program service ,All Establishments ,Employer Firms ,"83,133","80,836","78,170",3.4,3.1,2.5
5171,Wired Telecommunications Carriers2 ,Rental and reselling services for program distribution equipment ,All Establishments ,Employer Firms ,"10,933","8,797","7,602",0.6,0.5,0.8
5417,Scientific Research and Development Services ,All other non-operating revenue ,Establishments exempt from federal income tax ,Employer Firms ,647,416,735,10,14.3,7.9
51919,All Other Information Services ,All other operating revenue ,All Establishments ,Employer Firms ,443,396,381,14.8,12.9,10.2
51114,Directory and Mailing List Publishers ,Rental or sale of mailing lists ,All Establishments ,Employer Firms ,S,118,127,S,29.4,26.4
6233,Community Care Facilities for the Elderly ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"10,475","10,432","9,746",5,4.8,4.6
517911,Telecommunications Resellers4 ,Mobile telephony ,All Establishments ,Employer Firms ,"2,045","1,894",S,18.1,16.1,S
54133,Engineering Services ,Hazardous waste and industrial waste engineering projects ,All Establishments ,Employer Firms ,"4,649","4,634","4,437",20.9,19.2,23.9
621399,Offices of All Other Miscellaneous Health Practitioners ,Other patient care revenue ,All Establishments ,Employer Firms ,636,639,621,9.2,8.8,7.9
621492,Kidney Dialysis Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,S,S,S,S,S
5171,Wired Telecommunications Carriers2 ,Private network services ,All Establishments ,Employer Firms ,"22,253","22,222","21,977",2.2,2.3,1.8
6116,Other Schools and Instruction ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"13,040","12,308","11,428",4.4,4.3,4
5622,Waste Treatment and Disposal ,Nonhazardous waste disposal services ,All Establishments ,Employer Firms ,"7,565","6,847","6,623",4.5,2.5,2.4
51224,Sound Recording Studios ,All other operating revenue ,All Establishments ,Employer Firms ,230,205,184,11.5,10.4,8.8
5171,Wired Telecommunications Carriers2 ,Fixed services - Fixed local telephony ,All Establishments ,Employer Firms ,"39,272","41,973","45,650",0.9,0.8,0.7
56292,Material Recovery Facilities ,Sale or brokerage of nonhazardous recyclable material ,All Establishments ,Employer Firms ,"1,986","2,281","1,843",5.1,5.4,5.2
5121x ,Motion Picture and Video Production and Distribution1 ,International licensing of rights to others to distribute audiovisual works ,All Establishments ,Employer Firms ,369,377,351,7.2,5.7,7.9
51213,Motion Picture and Video Exhibition ,Admissions to feature film exhibitions ,All Establishments ,Employer Firms ,"9,521","8,859","9,101",3.4,2.6,2.1
518,"Data Processing, Hosting, and Related Services5 ",Information technology (IT) design and development services ,All Establishments ,Employer Firms ,"2,996","2,587","2,277",13.6,12.6,11.5
54186,Direct Mail Advertising ,Mail list creation and support services ,All Establishments ,Employer Firms ,446,410,414,20.2,15.5,15.4
6239,Other Residential Care Facilities ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,239,221,212,14.2,14.6,12.3
711211,Sports Teams and Clubs ,All other operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"14,123","13,927","13,658",5.1,4.5,4.1
5112,Software Publishers ,Application software publishing - General business productivity and home use applications ,All Establishments ,Employer Firms ,"28,039","27,990","25,731",6.6,6.2,4.8
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Mobile long-distance ,All Establishments ,Employer Firms ,"3,354","3,505","3,761",5.3,4.3,3.4
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",Investment and property income ,All Establishments ,Employer Firms ,184,192,229,15.1,14.5,17.5
621498,All Other Outpatient Care Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"12,119","11,190","10,431",2.3,2.3,2.1
6215,Medical and Diagnostic Laboratories ,Outpatient care facilities ,All Establishments ,Employer Firms ,"1,245","1,262","1,310",12.5,10.1,10
2211,"Electric Power Generation, Transmission and Distribution ",Sewer system user charges ,All Establishments ,Employer Firms ,20,19,32,Z,3.6,0.2
6116,Other Schools and Instruction ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"13,040","12,308","11,428",4.4,4.3,4
5417,Scientific Research and Development Services ,Licensing of right to use intellectual property ,Establishments exempt from federal income tax ,Employer Firms ,245,285,257,5.6,16.4,5.3
51111,Newspaper Publishers ,Printing services for others ,All Establishments ,Employer Firms ,"1,448","1,313","1,258",6,6.9,7.1
62131,Offices of Chiropractors ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
54133,Engineering Services ,Industrial and manufacturing engineering projects ,All Establishments ,Employer Firms ,"33,288","31,502","26,971",8.4,11.1,12.4
621491,Other Outpatient Care Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"7,272","6,867","6,200",1.3,1.3,1.3
51224,Sound Recording Studios ,All other operating revenue ,All Establishments ,Employer Firms ,230,205,184,11.5,10.4,8.8
5112,Software Publishers ,System software publishing - Other systems software ,All Establishments ,Employer Firms ,"3,527","3,507","3,766",2.7,11.1,10.9
54133,Engineering Services ,Transportation infrastructure engineering projects ,All Establishments ,Employer Firms ,"14,191","14,521","15,372",15.4,14.4,16.2
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Telecommunication network installation services ,All Establishments ,Employer Firms ,160,S,S,7.9,S,S
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Equities ,All Establishments ,Employer Firms ,387,963,992,6.1,4.3,4.4
56151,Travel Agencies ,Total operating revenue ,All Establishments ,Employer Firms ,"17,665","17,556","16,449",5.7,6,5.4
56151,Travel Agencies ,Commissions or fees from lodging ,All Establishments ,Employer Firms ,"3,035","2,976","2,671",7,7.2,6.9
518,"Data Processing, Hosting, and Related Services5 ","Data processing, information technology (IT) infrastructure provisioning, and hosting services ",All Establishments ,Employer Firms ,"61,604","56,734","53,108",4,3.9,3.7
484,Truck Transportation ,Motor carrier revenue ,All Establishments ,Employer Firms ,"212,446","198,945","178,938",1.5,1.5,1.5
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing foreign currency fees - Wholesale ,All Establishments ,Employer Firms ,858,871,810,7.9,7,6
5415,Computer Systems Design and Related Services ,IT infrastructure and network management ,All Establishments ,Employer Firms ,"46,602","44,512","41,601",2.2,4.1,4.2
54111,Offices of Lawyers ,Investment and property income ,Establishments exempt from federal income tax ,Employer Firms ,S,S,S,S,S,S
Z ,Absolute value is less than 0.05 ,,,,,,,,,
54161,Management Consulting Services10 ,"Strategic management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"36,543","33,590","32,110",5.5,4.4,3.8
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Water ,All Establishments ,Employer Firms ,34,29,29,0.2,0.3,0.3
621391,Offices of Podiatrists ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"1,624","1,474","1,395",6.4,3.8,3.3
6233,Community Care Facilities for the Elderly ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,553,512,503,11.1,9.9,9.8
54111,Offices of Lawyers ,All other non-operating revenue ,Establishments exempt from federal income tax ,Employer Firms ,105,74,69,22.5,13.9,15.7
5417,Scientific Research and Development Services ,Basic and applied research in the social sciences and humanities ,Establishments exempt from federal income tax ,Employer Firms ,"2,133","1,848","1,744",5.7,6.2,5.9
56152,Tour Operators ,Total operating revenue ,All Establishments ,Employer Firms ,"5,665","5,382","5,283",4.5,4.7,4.9
6233,Community Care Facilities for the Elderly ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"10,475","10,432","9,746",5,4.8,4.6
51224,Sound Recording Studios ,Sound recording studio rental and leasing ,All Establishments ,Employer Firms ,51,48,50,20.2,17.9,16.4
62131,Offices of Chiropractors ,Total operating revenue ,All Establishments ,Employer Firms ,"11,432","11,005","10,642",2.2,1.8,1.5
511199,All Other Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"1,827","1,742","1,755",8.5,6.1,5.5
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations12 ",Total revenue ,All Establishments ,Employer Firms ,"181,359","172,321","170,069",1.7,1.7,1.6
D ,Estimate in table is withheld to avoid disclosing data of individual companies; data are included in higher level totals. ,,,,,,,,,
51213,Motion Picture and Video Exhibition ,Advertising services ,All Establishments ,Employer Firms ,190,165,154,10.2,5,2.7
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,983","1,833","1,735",8.4,8.7,8.3
62141,Outpatient Care Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,513,516,503,6.9,6.2,5.6
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Investment and property income ,All Establishments ,Employer Firms ,S,S,S,S,S,S
624,Social Assistance ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"59,765","60,267","59,366",2,2.1,2.1
621498,All Other Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"11,273","10,968","10,722",2,1.9,1.4
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ","Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"2,038","1,880","1,783",9,9.2,8.8
486,Pipeline Transportation ,Transportation of bulk crude oil by pipeline ,All Establishments ,Employer Firms ,"5,485","4,938","4,511",Z,Z,Z
6116,Other Schools and Instruction ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"13,040","12,308","11,428",4.4,4.3,4
51112,Periodical Publishers ,Printing services for others ,All Establishments ,Employer Firms ,"1,357","1,511","1,533",19.9,16.1,15.1
62142,Outpatient Mental Health and Substance Abuse Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"13,999","13,566","12,985",3.2,2.7,2.2
621399,Offices of All Other Miscellaneous Health Practitioners ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,026",916,856,6.7,7.7,7.1
6116,Other Schools and Instruction ,Total operating revenue ,All Establishments ,Employer Firms ,"19,844","18,179","16,931",2.3,2.7,2.5
5112,Software Publishers ,Application software publishing - Cross-industry application software ,All Establishments ,Employer Firms ,"13,186","12,186","10,785",5,4.7,5.1
51112,Periodical Publishers ,Printing services for others ,All Establishments ,Employer Firms ,"1,357","1,511","1,533",19.9,16.1,15.1
5417,Scientific Research and Development Services ,"Contributions, gifts, and grants received ",Establishments exempt from federal income tax ,Employer Firms ,"10,647","10,313","9,712",3.2,3,2.6
5417,Scientific Research and Development Services ,"Basic and applied research in natural and exact sciences, except biological sciences ",Establishments exempt from federal income tax ,Employer Firms ,"1,861","1,740","1,623",3.7,3,3.2
518,"Data Processing, Hosting, and Related Services5 ","Data processing, information technology (IT) infrastructure provisioning, and hosting services ",All Establishments ,Employer Firms ,"61,604","56,734","53,108",4,3.9,3.7
62141,Outpatient Care Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,424,380,370,8.3,8.2,7.8
6215,Medical and Diagnostic Laboratories ,All other health care providers ,All Establishments ,Employer Firms ,836,756,701,19.3,20,18.6
5231X ,Commodity Contracts Dealing and Brokerage8 ,Management of financial market clearing products ,All Establishments ,Employer Firms ,400,427,429,13.3,15.2,10.6
5417,Scientific Research and Development Services ,Basic and applied research in the biological and biomedical sciences ,Establishments exempt from federal income tax ,Employer Firms ,"4,314","4,138","3,994",5.4,5.4,5.8
54161,Management Consulting Services10 ,"Marketing management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"15,136","13,831","12,606",7.4,6.6,6.5
6233,Community Care Facilities for the Elderly ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,447,429,416,14.3,15.8,14.9
62141,Outpatient Care Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"2,002","1,914","1,864",3.3,3.1,2.8
6219,Other Ambulatory Health Care Services ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,407","1,371","1,324",6.6,6.5,6.6
621498,All Other Outpatient Care Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"2,010","2,494","2,375",4.5,3.7,4.1
518,"Data Processing, Hosting, and Related Services5 ",Information technology (IT) technical support services ,All Establishments ,Employer Firms ,"3,138","2,853","2,607",11.7,10.1,8.5
622,Hospitals ,Investment and property income ,All Establishments ,Employer Firms ,"11,482","9,938","9,907",3.6,3.1,2.8
5172,Wireless Telecommunications Carriers (except Satellite)3 ,Telecommunication network installation services ,All Establishments ,Employer Firms ,160,S,S,7.9,S,S
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Management consulting services ,All Establishments ,Employer Firms ,"10,937","9,291","8,026",4.5,4,4.2
621399,Offices of All Other Miscellaneous Health Practitioners ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,94,S,S,26.6
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Trading derivative contracts on own account - Net gains (losses) ,All Establishments ,Employer Firms ,"8,753","9,432","9,357",10.2,10.6,5.4
7111,Performing Arts Companies ,Admissions revenue (excluding admissions taxes) ,Establishments subject to federal income tax ,Employer Firms ,"8,269","8,683","7,894",6.4,6,5.3
51113,Book Publishers ,Books - textbooks ,All Establishments ,Employer Firms ,"8,598","9,021","8,968",2.7,1.9,1.7
483,Water Transportation ,Participatory recreational services by water craft ,All Establishments ,Employer Firms ,S,S,S,S,S,S
56299,All Other Waste Management Services ,All other operating revenue ,All Establishments ,Employer Firms ,867,983,"1,026",6.1,6.6,5.3
56151,Travel Agencies ,Commissions or fees from automobile clubs and road and travel service ,All Establishments ,Employer Firms ,573,609,573,10.3,10,10.3
56151,Travel Agencies ,All other operating revenue ,All Establishments ,Employer Firms ,"2,324","2,373","2,221",8.7,8.7,7.2
5417,Scientific Research and Development Services ,Licensing of right to use intellectual property ,Establishments subject to federal income tax ,Employer Firms ,"13,983","15,146","10,720",10.5,18.2,7.3
621391,Offices of Podiatrists ,Total operating revenue ,All Establishments ,Employer Firms ,"4,646","4,301","4,149",4.1,3.6,3.1
624,Social Assistance ,Program service ,All Establishments ,Employer Firms ,"83,133","80,836","78,170",3.4,3.1,2.5
54133,Engineering Services ,"Commercial, public, and institutional engineering projects ",All Establishments ,Employer Firms ,"13,718","12,054","10,611",21.6,21.8,20
