NAICS,NAICS Description,Item,Tax Status,Employer Status,2012 Revenue,2011 Revenue,2010 Revenue,2012 Coefficient of Variation,2011 Coefficient of Variation,2010 Coefficient of Variation
485,Transit and Ground Passenger Transportation ,"Local, fixed-route passenger transportation by road and transit rail ",All Establishments ,Employer Firms ,"8,190","7,536","7,219",6.3,5.3,4.9
56152,Tour Operators ,Customized group tours - Domestic travel ,All Establishments ,Employer Firms ,"1,106","1,000",851,12.4,11.7,8.1
5152,Cable and Other Subscription Programming ,Total operating revenue ,All Establishments ,Employer Firms ,"64,168","60,318","55,168",0.4,0.3,0.2
622,Hospitals ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"397,251","373,264","358,206",1.7,2,1.9
54131,Architectural Services ,Single-family residential projects ,All Establishments ,Employer Firms ,"2,314","2,274","2,180",18.4,18.5,16.2
483,Water Transportation ,Tugboat services ,All Establishments ,Employer Firms ,506,S,S,21.6,S,S
62142,Outpatient Mental Health and Substance Abuse Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"2,043","1,869","1,783",6.1,7.6,9.7
54161,Management Consulting Services10 ,"Human resources management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"13,692","13,469","12,938",5.4,4.7,4.5
5121x ,Motion Picture and Video Production and Distribution1 ,Audiovisual works speculatively produced for outright sale ,All Establishments ,Employer Firms ,377,341,321,9.7,5.2,7.1
51213,Motion Picture and Video Exhibition ,Food and beverage sales ,All Establishments ,Employer Firms ,"4,207","3,858","3,789",3.3,2.5,2.3
62142,Outpatient Mental Health and Substance Abuse Centers ,Other patient care revenue ,All Establishments ,Employer Firms ,"1,138","1,228","1,204",11.5,9.5,9.7
54182,Public Relations Agencies ,All other operating revenue ,All Establishments ,Employer Firms ,775,709,602,12.7,9.9,13.1
8,Includes NAICS 52313 (Commodity Contracts Dealing) and NAICS 52314 (Commodity Contracts Brokerage). ,,,,,,,,,
711211,Sports Teams and Clubs ,All other operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"14,123","13,927","13,658",5.1,4.5,4.1
483,Water Transportation ,All other operating revenue ,All Establishments ,Employer Firms ,"1,662","1,431","1,445",5.4,5.5,5
56151,Travel Agencies ,Commissions or fees from automobile clubs and road and travel service ,All Establishments ,Employer Firms ,573,609,573,10.3,10,10.3
6219,Other Ambulatory Health Care Services ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,959,"1,032",962,7.3,6.4,5.7
481,Air Transportation ,"International, non-scheduled passenger by air ",All Establishments ,Employer Firms ,"2,775","2,450","2,630",3.5,3.9,6.1
511199,All Other Publishers ,Sale of advertising space ,All Establishments ,Employer Firms ,439,436,456,17.4,14.3,13
483,Water Transportation ,Other transportation of passengers by water ,All Establishments ,Employer Firms ,77,73,77,22.5,21.6,12.2
481,Air Transportation ,All other operating revenue ,All Establishments ,Employer Firms ,"18,677","18,238","15,756",4,3.4,3.7
5171,Wired Telecommunications Carriers2 ,Website hosting services ,All Establishments ,Employer Firms ,215,292,304,5.8,2.5,3
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ","Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"2,038","1,880","1,783",9,9.2,8.8
6239,Other Residential Care Facilities ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"5,744","5,580","5,501",3.6,2.8,2.8
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations12 ",Total revenue ,All Establishments ,Employer Firms ,"181,359","172,321","170,069",1.7,1.7,1.6
51919,All Other Information Services ,Total operating revenue ,All Establishments ,Employer Firms ,"2,841","2,594","2,624",6.4,5.9,5.4
711211,Sports Teams and Clubs ,All other operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"14,123","13,927","13,658",5.1,4.5,4.1
483,Water Transportation ,Towing services by water ,All Establishments ,Employer Firms ,843,738,565,9.3,9.3,10.6
6239,Other Residential Care Facilities ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"1,333","1,326","1,320",5.4,4.2,4.7
6212,Offices of Dentists ,Investment and property income ,All Establishments ,Employer Firms ,S,S,S,S,S,S
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,846","1,938","1,841",6.7,6.9,7.9
62141,Outpatient Care Centers ,Investment and property income ,All Establishments ,Employer Firms ,37,41,38,9.6,9.2,5.9
6233,Community Care Facilities for the Elderly ,Other patient care revenue ,All Establishments ,Employer Firms ,"2,862","2,685","2,578",12,11.4,11.6
51114,Directory and Mailing List Publishers ,"Directories, databases, and other collections of information - Advertising space ",All Establishments ,Employer Firms ,"9,323","10,064","10,401",2.5,2.3,2.3
6216,Home Health Care Services ,All other non-patient care revenue ,All Establishments ,Employer Firms ,489,502,493,21.3,18.8,19.6
54181,Advertising Agencies ,Integrated advertising services ,All Establishments ,Employer Firms ,"20,284","17,897","16,747",6.1,8,7.4
6211,Offices of Physicians ,All other non-patient care revenue ,All Establishments ,Employer Firms ,"19,595","15,992","14,800",6,6.7,5.5
56132,Temporary Help Services ,Temporary staffing services ,All Establishments ,Employer Firms ,"99,446","89,733","79,790",4.1,3.2,3.3
62142,Outpatient Mental Health and Substance Abuse Centers ,Other patient care revenue ,All Establishments ,Employer Firms ,"1,138","1,228","1,204",11.5,9.5,9.7
483,Water Transportation ,Other transportation of passengers by water ,All Establishments ,Employer Firms ,77,73,77,22.5,21.6,12.2
6212,Offices of Dentists ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"45,875","44,673","43,798",2.4,1.9,1.9
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations12 ",Total revenue ,All Establishments ,Employer Firms ,"181,359","172,321","170,069",1.7,1.7,1.6
